user_id,username,session_id,timestamp,query_text,content_type,item_id,item_title,item_source,action,duration_seconds,watch_time_seconds,device_type,country,language,mood_tag,inferred_genre,prev_session_minutes,age_group,subscribed_premium
user_0001,Olivia Chen,sess_a341,2023-11-24T00:00:16.Z,top pop happy music youtube,search,,,Spotify,view,,,mobile,US,en,relax,,10000,25-34,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:16:16.Z,top pop sleep music spotify,search,,,YouTube,click,,,mobile,US,en,,,10000,18-24,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:30:16.Z,new jazz focus music youtube,search,,,SoundCloud,view,,,mobile,US,en,relax,,10000,55+,True
user_0001,Olivia Chen,sess_a341,2023-11-24T00:10:16.Z,new classical sad music ,youtube_video,yt_MLSH4M,Epic Rock for Party,Website,like,2482,,mobile,US,en,,,10000,45-54,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:29:16.Z,new classical relax music spotify,song,yt_ICY63G,Chill Lofi for Happy,YouTube,unsave,260,102,mobile,US,en,sad,edm,10000,18-24,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:20:16.Z,popular hiphop sleep music spotify,song,sc_REMA9A,Awesome Edm for Workout,SoundCloud,view,126,110,mobile,US,en,,,10000,55+,True
user_0001,Olivia Chen,sess_a341,2023-11-24T00:34:16.Z,top jazz party music ,search,,,Spotify,click,,,desktop,US,en,relax,pop,10000,55+,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:27:16.Z,relaxing jazz workout music spotify,youtube_video,sp_EGZCLE,Awesome Country for Party,YouTube,play,1754,187,mobile,US,en,happy,rock,10000,55+,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:11:16.Z,popular rock sad music youtube,search,,,YouTube,view,,,mobile,US,en,,pop,10000,45-54,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:29:16.Z,best country workout music youtube,playlist,sp_M97PRE,Awesome Country for Happy,YouTube,view,,,tablet,US,en,focus,,10000,35-44,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:08:16.Z,energetic indie focus music spotify,search,,,SoundCloud,view,,,mobile,US,en,,hiphop,10000,35-44,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:21:16.Z,new country happy music ,search,,,Website,view,,,tablet,US,en,,,10000,55+,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:13:16.Z,top pop study music spotify,youtube_video,sp_II8TSC,Awesome Country for Workout,Spotify,view,2622,1327,mobile,US,en,,country,10000,45-54,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:10:16.Z,relaxing lofi workout music ,search,,,Spotify,click,,,desktop,US,en,sleep,,10000,55+,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:18:16.Z,energetic jazz sad music youtube,search,,,SoundCloud,view,,,mobile,US,en,,indie,10000,35-44,True
user_0001,Olivia Chen,sess_a341,2023-11-24T00:26:16.Z,relaxing country focus music ,search,,,YouTube,click,,,mobile,US,en,party,classical,10000,25-34,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:06:16.Z,top pop party music youtube,search,,,YouTube,click,,,desktop,US,en,,rnb,10000,55+,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:29:16.Z,popular lofi party music ,search,,,Website,view,,,mobile,US,en,,lofi,10000,45-54,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:12:16.Z,best rnb workout music youtube,song,sc_B93I79,Awesome Pop for Sleep,SoundCloud,play,370,303,desktop,US,en,,pop,10000,45-54,False
user_0001,Olivia Chen,sess_a341,2023-11-24T00:16:16.Z,relaxing edm happy music spotify,playlist,sp_96NSLA,Epic Lofi for Party,Spotify,click,,,mobile,US,en,,,10000,18-24,False
user_0001,Olivia Chen,sess_48c6,2024-09-20T11:29:42.Z,relaxing indie focus music youtube,search,,,YouTube,view,,,mobile,US,en,happy,,434113,25-34,False
user_0001,Olivia Chen,sess_48c6,2024-09-20T12:04:42.Z,energetic rnb workout music ,song,sp_82BN3L,Chill Edm for Workout,YouTube,save,299,125,desktop,US,en,,,434148,18-24,False
user_0001,Olivia Chen,sess_48c6,2024-09-20T11:49:42.Z,top rnb relax music youtube,playlist,sc_26HET9,Awesome Classical for Relax,YouTube,click,,,mobile,US,en,,classical,434133,25-34,False
user_0001,Olivia Chen,sess_48c6,2024-09-20T11:37:42.Z,top jazz workout music youtube,song,sp_WEIJF2,Epic Rnb for Sad,SoundCloud,view,234,,mobile,US,en,party,,434121,55+,False
user_0001,Olivia Chen,sess_48c6,2024-09-20T12:07:42.Z,best rock focus music youtube,song,sp_BPW974,Awesome Pop for Focus,YouTube,play,377,3,desktop,US,en,study,edm,434151,25-34,False
user_0001,Olivia Chen,sess_48c6,2024-09-20T11:39:42.Z,energetic rock sad music youtube,search,,,Spotify,click,,,desktop,US,en,happy,,434123,35-44,False
user_0001,Olivia Chen,sess_48c6,2024-09-20T11:30:42.Z,relaxing edm focus music spotify,song,sc_07YWDP,Best Pop for Sleep,SoundCloud,play,230,187,mobile,US,en,study,,434114,45-54,False
user_0001,Olivia Chen,sess_48c6,2024-09-20T11:36:42.Z,new lofi party music spotify,song,sc_09O172,Chill Hiphop for Sad,Website,play,342,302,mobile,US,en,workout,rock,434120,18-24,False
user_0001,Olivia Chen,sess_79d2,2023-10-31T15:44:40.Z,relaxing pop focus music youtube,youtube_video,sp_QZVPFH,Chill Edm for Relax,Spotify,save,3010,1638,mobile,US,en,workout,rnb,-467752,25-34,False
user_0001,Olivia Chen,sess_79d2,2023-10-31T16:14:40.Z,popular edm focus music spotify,playlist,yt_XZOQOV,Best Country for Focus,Spotify,click,,,mobile,US,en,workout,hiphop,-467722,45-54,False
user_0001,Olivia Chen,sess_79d2,2023-10-31T16:20:40.Z,new country focus music spotify,youtube_video,sp_IRWZRK,Best Rock for Relax,SoundCloud,play,233,221,desktop,US,en,workout,,-467716,45-54,False
user_0001,Olivia Chen,sess_79d2,2023-10-31T16:10:40.Z,energetic lofi sleep music spotify,playlist,yt_MH19I7,Epic Rock for Study,YouTube,click,,,mobile,US,en,,lofi,-467726,55+,False
user_0001,Olivia Chen,sess_79d2,2023-10-31T15:52:40.Z,best classical sleep music ,playlist,sc_X9GHM0,Best Edm for Sad,SoundCloud,click,,,mobile,US,en,,,-467744,55+,False
user_0001,Olivia Chen,sess_79d2,2023-10-31T16:03:40.Z,best hiphop sleep music youtube,song,sp_U6UC9V,Best Pop for Workout,Website,play,306,136,tablet,US,en,study,,-467733,55+,False
user_0001,Olivia Chen,sess_79d2,2023-10-31T16:02:40.Z,relaxing edm sad music youtube,search,,,Spotify,view,,,mobile,US,en,,jazz,-467734,18-24,False
